1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	0.920854	0.000000	0.779749	0.506397	22.5
1	0.614135	0.000000	0.779749	0.284616	0.9
2	0.687905	0.000000	0.779749	0.300309	1.0
3	0.511110	0.000000	0.779749	0.206944	0.9
4	0.529708	0.000000	0.779749	0.241712	0.9
5	0.455239	0.000000	0.779749	0.145972	0.9
6	0.587350	0.000000	0.779749	0.167674	0.9
7	0.505633	0.000000	0.779749	0.080630	0.9
8	0.486428	0.000000	0.779749	0.074017	0.9
9	0.499799	0.000000	0.779749	0.077352	0.9
10	0.491540	0.000000	0.779749	0.054253	0.9
11	0.469856	0.000000	0.779749	0.086165	0.9
12	0.454579	0.000000	0.779749	0.097080	0.9
13	0.474086	1.000000	0.744306	0.083924	0.9
14	0.476698	2.000000	0.711945	0.048089	0.9
15	0.499577	1.979176	0.712590	0.081726	0.8
16	0.477662	1.958350	0.713237	0.067349	0.9
17	0.437703	1.937524	0.713884	0.061778	0.9
18	0.443748	1.916698	0.714533	0.053478	0.9
19	0.483392	1.895872	0.715183	0.065816	0.8
20	0.456732	1.879303	0.715701	0.073523	0.9
21	0.458652	1.858489	0.716353	0.070163	0.9
22	0.454270	1.837663	0.717006	0.048193	0.8
23	0.423431	1.816837	0.717660	0.055073	0.9
24	0.473505	1.796011	0.718316	0.086083	0.8
25	0.439952	1.775185	0.718973	0.049230	0.9
26	0.499752	1.755238	0.719603	0.051284	0.9
27	0.430985	1.734412	0.720262	0.062048	1.0
28	0.488610	1.713586	0.720923	0.043140	0.9
29	0.405084	1.692760	0.721584	0.060316	0.9
30	0.441424	1.671934	0.722247	0.034674	0.9
31	0.457788	1.656979	0.722724	0.055933	0.9
32	0.436539	1.636154	0.723389	0.038093	0.9
33	0.484862	1.615330	0.724055	0.043929	0.9
34	0.414392	1.594506	0.724722	0.032351	0.9
35	0.407278	1.573755	0.725388	0.031351	1.0
36	0.442089	1.553101	0.726053	0.025197	0.9
37	0.429632	1.533532	0.726683	0.044412	0.8
38	0.439391	1.512727	0.727355	0.035598	0.9
39	0.400921	1.491949	0.728027	0.033051	0.9
40	0.419670	1.471501	0.728689	0.053728	0.9
41	0.388264	1.454232	0.729249	0.045739	0.8
42	0.464369	1.490830	0.728063	0.030705	0.9
43	0.426759	1.470014	0.728737	0.040639	0.8
44	0.430014	1.450866	0.729359	0.046694	1.0
45	0.435029	1.430045	0.730036	0.066259	0.9
46	0.473664	1.409220	0.730714	0.056013	0.9
47	0.449497	2.296718	0.702877	0.067741	0.9
48	0.388644	3.296618	0.673951	0.037254	0.9
49	0.467267	3.487995	0.668684	0.033172	0.9
50	0.423985	3.467299	0.669250	0.048962	0.9
51	0.370904	3.446603	0.669816	0.058270	0.9
52	0.457847	3.437055	0.670078	0.035110	0.9
53	0.409292	3.417850	0.670605	0.060555	0.9
54	0.442564	3.397024	0.671178	0.043266	0.9
55	0.428839	3.376198	0.671751	0.037379	0.9
56	0.474267	3.355373	0.672325	0.060212	0.9
57	0.401159	4.256048	0.648349	0.047280	0.9
58	0.447438	5.246122	0.623892	0.054423	0.9
59	0.397553	5.225298	0.624387	0.053871	0.9
60	0.437304	5.241997	0.623990	0.034156	0.9
61	0.405025	5.221394	0.624480	0.034680	0.9
62	0.475131	5.201300	0.624959	0.027811	0.9
63	0.443721	5.190961	0.625206	0.072685	0.9
64	0.419507	5.170135	0.625703	0.047817	0.9
65	0.388233	5.353707	0.621345	0.055375	0.8
66	0.416443	6.347425	0.598767	0.034464	0.8
67	0.458668	6.334801	0.599044	0.028265	0.9
68	0.399079	6.315564	0.599465	0.045902	0.8
69	0.433644	6.297262	0.599867	0.034051	0.8
70	0.435151	6.276438	0.600325	0.064537	0.9
71	0.411694	6.255616	0.600784	0.041921	1.2
72	0.416473	7.255607	0.579522	0.024387	0.9
73	0.476593	7.312781	0.578351	0.052674	0.9
74	0.418524	7.295626	0.578702	0.026264	1.0
75	0.437938	7.419227	0.576185	0.068922	0.9
76	0.445074	7.689731	0.570753	0.021051	0.9
