1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	5.621593	0.000000	0.210262	0.261305	23.1
1	5.191092	0.000000	0.210262	1.134122	0.8
2	5.870238	0.808329	0.202469	2.090387	0.9
3	6.006390	1.808329	0.193592	1.499109	0.9
4	7.323095	2.808329	0.185461	0.780395	0.9
5	6.274652	2.536851	0.187600	1.462600	0.8
6	4.464079	1.959389	0.192318	0.693970	0.8
7	3.639405	1.382108	0.197279	0.498651	1.2
8	4.704098	0.805664	0.202494	1.091126	0.8
9	4.290894	0.228315	0.208001	0.613192	0.9
10	4.177757	1.196453	0.198929	0.835364	0.8
11	4.196569	2.191393	0.190394	0.513083	0.8
12	5.434678	3.071574	0.183433	1.360478	0.8
13	5.910153	2.494125	0.187941	1.155064	0.8
14	5.756792	1.916663	0.192677	1.079027	0.8
15	5.805705	2.916663	0.184621	1.957267	0.9
16	6.940086	3.916663	0.177211	1.145157	0.8
17	5.890384	3.339201	0.181416	0.391310	0.9
18	5.087291	2.767321	0.185781	0.722336	0.9
19	4.285499	3.593396	0.179541	0.984888	0.9
20	4.049527	3.015942	0.183857	0.719557	0.9
21	3.856347	2.616869	0.186964	1.334446	0.9
22	4.851668	2.039409	0.191650	1.008176	0.9
23	4.863823	3.039409	0.183678	1.101827	0.9
24	4.652850	4.039181	0.176344	1.191497	1.2
25	5.956073	5.039181	0.169572	0.850446	0.9
26	5.398827	4.461719	0.173418	0.458204	0.8
27	6.614257	5.458537	0.166884	2.545007	1.2
28	4.609408	4.881149	0.170607	1.064701	0.8
29	5.655023	5.881149	0.164260	2.099537	0.9
30	6.185822	6.881148	0.158369	0.738664	0.8
31	4.274231	7.814871	0.153237	1.078154	0.8
32	5.085388	8.810982	0.148117	1.237056	0.8
33	4.176920	8.233520	0.151043	0.146282	0.8
34	3.690776	7.682164	0.153946	0.857447	0.8
35	5.984564	8.465217	0.149855	1.951842	0.9
36	4.334292	9.465217	0.144936	0.396100	0.9
37	5.595880	10.465208	0.140330	1.679080	0.9
38	5.611764	9.887784	0.142953	0.535996	0.9
39	4.444999	10.887781	0.138470	0.651704	0.9
40	4.533216	11.785697	0.134678	0.858038	0.8
41	5.345725	11.280973	0.136784	2.334587	0.9
42	3.560781	10.703512	0.139275	0.824204	0.8
43	5.067707	11.703502	0.135016	2.195266	0.9
44	3.952672	12.703502	0.131010	0.404541	0.8
45	4.723083	12.137248	0.133249	0.902349	0.8
46	3.625937	11.561547	0.135605	0.738909	0.9
47	4.074783	10.984217	0.138053	0.393699	0.9
48	3.923760	10.471982	0.140300	1.028521	0.9
